"qid","q","full_name","type","selector","subselector","text","part","to_name","options","choices","block_title","question","origin"
"qid114","q25_1","diff_afford_food","mc","mavr","tx","in the past year, have you had difficulty affording any of the following? (select all that apply)",NA,"food","1,2,3,4,5,6,7,8,9","food; transportation; paying utilities (e.g. electricity, water, gas); paying rent/mortgage; internet; health care services; none of the above; childcare; technology","socio-economics",25,"survey question dummy"
"qid114","q25_2","diff_afford_trans","mc","mavr","tx","in the past year, have you had difficulty affording any of the following? (select all that apply)",NA,"transportation","1,2,3,4,5,6,7,8,9","food; transportation; paying utilities (e.g. electricity, water, gas); paying rent/mortgage; internet; health care services; none of the above; childcare; technology","socio-economics",25,"survey question dummy"
"qid114","q25_3","diff_afford_util","mc","mavr","tx","in the past year, have you had difficulty affording any of the following? (select all that apply)",NA,"paying utilities (e.g. electricity, water, gas)","1,2,3,4,5,6,7,8,9","food; transportation; paying utilities (e.g. electricity, water, gas); paying rent/mortgage; internet; health care services; none of the above; childcare; technology","socio-economics",25,"survey question dummy"
"qid114","q25_4","diff_afford_rent","mc","mavr","tx","in the past year, have you had difficulty affording any of the following? (select all that apply)",NA,"paying rent/mortgage","1,2,3,4,5,6,7,8,9","food; transportation; paying utilities (e.g. electricity, water, gas); paying rent/mortgage; internet; health care services; none of the above; childcare; technology","socio-economics",25,"survey question dummy"
"qid114","q25_5","diff_afford_internet","mc","mavr","tx","in the past year, have you had difficulty affording any of the following? (select all that apply)",NA,"internet","1,2,3,4,5,6,7,8,9","food; transportation; paying utilities (e.g. electricity, water, gas); paying rent/mortgage; internet; health care services; none of the above; childcare; technology","socio-economics",25,"survey question dummy"
"qid114","q25_6","diff_afford_hc","mc","mavr","tx","in the past year, have you had difficulty affording any of the following? (select all that apply)",NA,"health care services","1,2,3,4,5,6,7,8,9","food; transportation; paying utilities (e.g. electricity, water, gas); paying rent/mortgage; internet; health care services; none of the above; childcare; technology","socio-economics",25,"survey question dummy"
"qid114","q25_7","diff_afford_none","mc","mavr","tx","in the past year, have you had difficulty affording any of the following? (select all that apply)",NA,"none of the above","1,2,3,4,5,6,7,8,9","food; transportation; paying utilities (e.g. electricity, water, gas); paying rent/mortgage; internet; health care services; none of the above; childcare; technology","socio-economics",25,"survey question dummy"
"qid114","q25_8","diff_afford_cc","mc","mavr","tx","in the past year, have you had difficulty affording any of the following? (select all that apply)",NA,"childcare","1,2,3,4,5,6,7,8,9","food; transportation; paying utilities (e.g. electricity, water, gas); paying rent/mortgage; internet; health care services; none of the above; childcare; technology","socio-economics",25,"survey question dummy"
"qid114","q25_9","diff_afford_tech","mc","mavr","tx","in the past year, have you had difficulty affording any of the following? (select all that apply)",NA,"technology","1,2,3,4,5,6,7,8,9","food; transportation; paying utilities (e.g. electricity, water, gas); paying rent/mortgage; internet; health care services; none of the above; childcare; technology","socio-economics",25,"survey question dummy"
"qid114","q25","diff_afford","mc","mavr","tx","in the past year, have you had difficulty affording any of the following? (select all that apply)",NA,NA,"1,2,3,4,5,6,7,8,9","food; transportation; paying utilities (e.g. electricity, water, gas); paying rent/mortgage; internet; health care services; none of the above; childcare; technology","socio-economics",25,"survey question"
"qid115","q26_1","diff_access_food","mc","mavr","tx","in the past year, have you had difficulty accessing or finding any of the following? (select all that apply)",NA,"food","1,2,3,4,5,6,7,8,9,10","food; social services and/or benefits (e.g. food stamps); transportation; housing; internet; health care services; covid-19 tests; none of the above; childcare; technology","socio-economics",26,"survey question dummy"
"qid115","q26_2","diff_access_ss","mc","mavr","tx","in the past year, have you had difficulty accessing or finding any of the following? (select all that apply)",NA,"social services and/or benefits (e.g. food stamps)","1,2,3,4,5,6,7,8,9,10","food; social services and/or benefits (e.g. food stamps); transportation; housing; internet; health care services; covid-19 tests; none of the above; childcare; technology","socio-economics",26,"survey question dummy"
"qid115","q26_3","diff_access_trans","mc","mavr","tx","in the past year, have you had difficulty accessing or finding any of the following? (select all that apply)",NA,"transportation","1,2,3,4,5,6,7,8,9,10","food; social services and/or benefits (e.g. food stamps); transportation; housing; internet; health care services; covid-19 tests; none of the above; childcare; technology","socio-economics",26,"survey question dummy"
"qid115","q26_4","diff_access_hous","mc","mavr","tx","in the past year, have you had difficulty accessing or finding any of the following? (select all that apply)",NA,"housing","1,2,3,4,5,6,7,8,9,10","food; social services and/or benefits (e.g. food stamps); transportation; housing; internet; health care services; covid-19 tests; none of the above; childcare; technology","socio-economics",26,"survey question dummy"
"qid115","q26_5","diff_access_internet","mc","mavr","tx","in the past year, have you had difficulty accessing or finding any of the following? (select all that apply)",NA,"internet","1,2,3,4,5,6,7,8,9,10","food; social services and/or benefits (e.g. food stamps); transportation; housing; internet; health care services; covid-19 tests; none of the above; childcare; technology","socio-economics",26,"survey question dummy"
"qid115","q26_6","diff_access_hc","mc","mavr","tx","in the past year, have you had difficulty accessing or finding any of the following? (select all that apply)",NA,"health care services","1,2,3,4,5,6,7,8,9,10","food; social services and/or benefits (e.g. food stamps); transportation; housing; internet; health care services; covid-19 tests; none of the above; childcare; technology","socio-economics",26,"survey question dummy"
"qid115","q26_7","diff_access_test","mc","mavr","tx","in the past year, have you had difficulty accessing or finding any of the following? (select all that apply)",NA,"covid-19 tests","1,2,3,4,5,6,7,8,9,10","food; social services and/or benefits (e.g. food stamps); transportation; housing; internet; health care services; covid-19 tests; none of the above; childcare; technology","socio-economics",26,"survey question dummy"
"qid115","q26_8","diff_access_none","mc","mavr","tx","in the past year, have you had difficulty accessing or finding any of the following? (select all that apply)",NA,"none of the above","1,2,3,4,5,6,7,8,9,10","food; social services and/or benefits (e.g. food stamps); transportation; housing; internet; health care services; covid-19 tests; none of the above; childcare; technology","socio-economics",26,"survey question dummy"
"qid115","q26_9","diff_access_cc","mc","mavr","tx","in the past year, have you had difficulty accessing or finding any of the following? (select all that apply)",NA,"childcare","1,2,3,4,5,6,7,8,9,10","food; social services and/or benefits (e.g. food stamps); transportation; housing; internet; health care services; covid-19 tests; none of the above; childcare; technology","socio-economics",26,"survey question dummy"
"qid115","q26_10","diff_access_tech","mc","mavr","tx","in the past year, have you had difficulty accessing or finding any of the following? (select all that apply)",NA,"technology","1,2,3,4,5,6,7,8,9,10","food; social services and/or benefits (e.g. food stamps); transportation; housing; internet; health care services; covid-19 tests; none of the above; childcare; technology","socio-economics",26,"survey question dummy"
"qid115","q26","diff_access","mc","mavr","tx","in the past year, have you had difficulty accessing or finding any of the following? (select all that apply)",NA,NA,"1,2,3,4,5,6,7,8,9,10","food; social services and/or benefits (e.g. food stamps); transportation; housing; internet; health care services; covid-19 tests; none of the above; childcare; technology","socio-economics",26,"survey question"
"qid61","q27_1","insecure_food_worr","mc","mavr","tx","in the past year, have you experienced any of the following? (select all that apply)",NA,"worried about running out of food","1,2,3,4,5","worried about running out of food; ran out of food or was unable to afford food; difficulty finding housing; eviction or threat of eviction; none of the above","socio-economics",27,"survey question dummy"
"qid61","q27_2","insecure_food_ran_out","mc","mavr","tx","in the past year, have you experienced any of the following? (select all that apply)",NA,"ran out of food or was unable to afford food","1,2,3,4,5","worried about running out of food; ran out of food or was unable to afford food; difficulty finding housing; eviction or threat of eviction; none of the above","socio-economics",27,"survey question dummy"
"qid61","q27_3","insecure_hous","mc","mavr","tx","in the past year, have you experienced any of the following? (select all that apply)",NA,"difficulty finding housing","1,2,3,4,5","worried about running out of food; ran out of food or was unable to afford food; difficulty finding housing; eviction or threat of eviction; none of the above","socio-economics",27,"survey question dummy"
"qid61","q27_4","insecure_evict","mc","mavr","tx","in the past year, have you experienced any of the following? (select all that apply)",NA,"eviction or threat of eviction","1,2,3,4,5","worried about running out of food; ran out of food or was unable to afford food; difficulty finding housing; eviction or threat of eviction; none of the above","socio-economics",27,"survey question dummy"
"qid61","q27_5","insecure_none","mc","mavr","tx","in the past year, have you experienced any of the following? (select all that apply)",NA,"none of the above","1,2,3,4,5","worried about running out of food; ran out of food or was unable to afford food; difficulty finding housing; eviction or threat of eviction; none of the above","socio-economics",27,"survey question dummy"
"qid61","q27","insecure","mc","mavr","tx","in the past year, have you experienced any of the following? (select all that apply)",NA,NA,"1,2,3,4,5","worried about running out of food; ran out of food or was unable to afford food; difficulty finding housing; eviction or threat of eviction; none of the above","socio-economics",27,"survey question"
"qid22","q28_1","ins_priv","mc","mavr","tx","do you currently have any form of health insurance? (select all that apply)",NA,"private insurance","1,2,3,4,5,6","private insurance; employer-provided insurance; medicare; medicaid; no, i do not have any form of health insurance; i don’t know","resources",28,"survey question dummy"
"qid22","q28_2","ins_emp","mc","mavr","tx","do you currently have any form of health insurance? (select all that apply)",NA,"employer-provided insurance","1,2,3,4,5,6","private insurance; employer-provided insurance; medicare; medicaid; no, i do not have any form of health insurance; i don’t know","resources",28,"survey question dummy"
"qid22","q28_3","ins_care","mc","mavr","tx","do you currently have any form of health insurance? (select all that apply)",NA,"medicare","1,2,3,4,5,6","private insurance; employer-provided insurance; medicare; medicaid; no, i do not have any form of health insurance; i don’t know","resources",28,"survey question dummy"
"qid22","q28_4","ins_caid","mc","mavr","tx","do you currently have any form of health insurance? (select all that apply)",NA,"medicaid","1,2,3,4,5,6","private insurance; employer-provided insurance; medicare; medicaid; no, i do not have any form of health insurance; i don’t know","resources",28,"survey question dummy"
"qid22","q28_5","ins_none","mc","mavr","tx","do you currently have any form of health insurance? (select all that apply)",NA,"no, i do not have any form of health insurance","1,2,3,4,5,6","private insurance; employer-provided insurance; medicare; medicaid; no, i do not have any form of health insurance; i don’t know","resources",28,"survey question dummy"
"qid22","q28_6","ins_idk","mc","mavr","tx","do you currently have any form of health insurance? (select all that apply)",NA,"i don’t know","1,2,3,4,5,6","private insurance; employer-provided insurance; medicare; medicaid; no, i do not have any form of health insurance; i don’t know","resources",28,"survey question dummy"
"qid22","q28","ins","mc","mavr","tx","do you currently have any form of health insurance? (select all that apply)",NA,NA,"1,2,3,4,5,6","private insurance; employer-provided insurance; medicare; medicaid; no, i do not have any form of health insurance; i don’t know","resources",28,"survey question"
"qid68","q29_1","trans_drive","ro","rb","tx","which mode of transportation do you most frequently use to commute (choose and rank your top 3, 1 being the most frequent, and 2 and 3 if applicable):",NA,"drive alone","1,2,3,4,5,6,7,8,9,10","drive alone; taxi, ride hail, for-hire vehicle; carpool or vanpool; public bus; private bus or shuttle; subway; commuter rail; ferry or commuter boat; bike or scooter; walking exclusively","resources",29,"survey question dummy"
"qid68","q29_2","trans_taxi","ro","rb","tx","which mode of transportation do you most frequently use to commute (choose and rank your top 3, 1 being the most frequent, and 2 and 3 if applicable):",NA,"taxi, ride hail, for-hire vehicle","1,2,3,4,5,6,7,8,9,10","drive alone; taxi, ride hail, for-hire vehicle; carpool or vanpool; public bus; private bus or shuttle; subway; commuter rail; ferry or commuter boat; bike or scooter; walking exclusively","resources",29,"survey question dummy"
"qid68","q29_3","trans_carpool","ro","rb","tx","which mode of transportation do you most frequently use to commute (choose and rank your top 3, 1 being the most frequent, and 2 and 3 if applicable):",NA,"carpool or vanpool","1,2,3,4,5,6,7,8,9,10","drive alone; taxi, ride hail, for-hire vehicle; carpool or vanpool; public bus; private bus or shuttle; subway; commuter rail; ferry or commuter boat; bike or scooter; walking exclusively","resources",29,"survey question dummy"
"qid68","q29_4","trans_public_bus","ro","rb","tx","which mode of transportation do you most frequently use to commute (choose and rank your top 3, 1 being the most frequent, and 2 and 3 if applicable):",NA,"public bus","1,2,3,4,5,6,7,8,9,10","drive alone; taxi, ride hail, for-hire vehicle; carpool or vanpool; public bus; private bus or shuttle; subway; commuter rail; ferry or commuter boat; bike or scooter; walking exclusively","resources",29,"survey question dummy"
"qid68","q29_5","trans_priv_bus","ro","rb","tx","which mode of transportation do you most frequently use to commute (choose and rank your top 3, 1 being the most frequent, and 2 and 3 if applicable):",NA,"private bus or shuttle","1,2,3,4,5,6,7,8,9,10","drive alone; taxi, ride hail, for-hire vehicle; carpool or vanpool; public bus; private bus or shuttle; subway; commuter rail; ferry or commuter boat; bike or scooter; walking exclusively","resources",29,"survey question dummy"
"qid68","q29_6","trans_subway","ro","rb","tx","which mode of transportation do you most frequently use to commute (choose and rank your top 3, 1 being the most frequent, and 2 and 3 if applicable):",NA,"subway","1,2,3,4,5,6,7,8,9,10","drive alone; taxi, ride hail, for-hire vehicle; carpool or vanpool; public bus; private bus or shuttle; subway; commuter rail; ferry or commuter boat; bike or scooter; walking exclusively","resources",29,"survey question dummy"
"qid68","q29_7","trans_rail","ro","rb","tx","which mode of transportation do you most frequently use to commute (choose and rank your top 3, 1 being the most frequent, and 2 and 3 if applicable):",NA,"commuter rail","1,2,3,4,5,6,7,8,9,10","drive alone; taxi, ride hail, for-hire vehicle; carpool or vanpool; public bus; private bus or shuttle; subway; commuter rail; ferry or commuter boat; bike or scooter; walking exclusively","resources",29,"survey question dummy"
"qid68","q29_8","trans_ferry","ro","rb","tx","which mode of transportation do you most frequently use to commute (choose and rank your top 3, 1 being the most frequent, and 2 and 3 if applicable):",NA,"ferry or commuter boat","1,2,3,4,5,6,7,8,9,10","drive alone; taxi, ride hail, for-hire vehicle; carpool or vanpool; public bus; private bus or shuttle; subway; commuter rail; ferry or commuter boat; bike or scooter; walking exclusively","resources",29,"survey question dummy"
"qid68","q29_9","trans_bike","ro","rb","tx","which mode of transportation do you most frequently use to commute (choose and rank your top 3, 1 being the most frequent, and 2 and 3 if applicable):",NA,"bike or scooter","1,2,3,4,5,6,7,8,9,10","drive alone; taxi, ride hail, for-hire vehicle; carpool or vanpool; public bus; private bus or shuttle; subway; commuter rail; ferry or commuter boat; bike or scooter; walking exclusively","resources",29,"survey question dummy"
"qid68","q29_10","trans_walk","ro","rb","tx","which mode of transportation do you most frequently use to commute (choose and rank your top 3, 1 being the most frequent, and 2 and 3 if applicable):",NA,"walking exclusively","1,2,3,4,5,6,7,8,9,10","drive alone; taxi, ride hail, for-hire vehicle; carpool or vanpool; public bus; private bus or shuttle; subway; commuter rail; ferry or commuter boat; bike or scooter; walking exclusively","resources",29,"survey question dummy"
"qid68","q29","trans","ro","rb","tx","which mode of transportation do you most frequently use to commute (choose and rank your top 3, 1 being the most frequent, and 2 and 3 if applicable):",NA,NA,"1,2,3,4,5,6,7,8,9,10","drive alone; taxi, ride hail, for-hire vehicle; carpool or vanpool; public bus; private bus or shuttle; subway; commuter rail; ferry or commuter boat; bike or scooter; walking exclusively","resources",29,"survey question"
"qid116","q30_1","rate_gov","matrix","likert","singleanswer","the city experienced an economic downturn during the covid-19 pandemic. how would you rate the current government’s post-covid economic recovery policies? (select one)","city government",NA,"1,2,3,4,5,6","excellent; good; average; poor; very poor; not sure","government services",30,"survey question"
"qid34","q31_1","rate_neigh_gar","matrix","likert","singleanswer","how would you rate the quality of the following neighborhood services? (select an option for each category)","garbage collection",NA,"1,2,3,4,5","excellent; good; fair; poor; don’t know/not sure","government services",31,"survey question"
"qid34","q31_2","rate_neigh_pot","matrix","likert","singleanswer","how would you rate the quality of the following neighborhood services? (select an option for each category)","pothole repair",NA,"1,2,3,4,5","excellent; good; fair; poor; don’t know/not sure","government services",31,"survey question"
"qid34","q31_3","rate_neigh_lib","matrix","likert","singleanswer","how would you rate the quality of the following neighborhood services? (select an option for each category)","libraries",NA,"1,2,3,4,5","excellent; good; fair; poor; don’t know/not sure","government services",31,"survey question"
"qid34","q31_4","rate_neigh_pub","matrix","likert","singleanswer","how would you rate the quality of the following neighborhood services? (select an option for each category)","neighborhood public schools",NA,"1,2,3,4,5","excellent; good; fair; poor; don’t know/not sure","government services",31,"survey question"
"qid34","q31_5","rate_neigh_rec","matrix","likert","singleanswer","how would you rate the quality of the following neighborhood services? (select an option for each category)","maintenance of parks and recreational facilities",NA,"1,2,3,4,5","excellent; good; fair; poor; don’t know/not sure","government services",31,"survey question"
"qid34","q31_6","rate_neigh_code","matrix","likert","singleanswer","how would you rate the quality of the following neighborhood services? (select an option for each category)","housing code enforcement",NA,"1,2,3,4,5","excellent; good; fair; poor; don’t know/not sure","government services",31,"survey question"
"qid34","q31_7","rate_neigh_med","matrix","likert","singleanswer","how would you rate the quality of the following neighborhood services? (select an option for each category)","emergency medical services",NA,"1,2,3,4,5","excellent; good; fair; poor; don’t know/not sure","government services",31,"survey question"
"qid34","q31_8","rate_neigh_pol","matrix","likert","singleanswer","how would you rate the quality of the following neighborhood services? (select an option for each category)","police responsiveness to calls or complaints",NA,"1,2,3,4,5","excellent; good; fair; poor; don’t know/not sure","government services",31,"survey question"
"qid34","q31_9","rate_neigh_pre","matrix","likert","singleanswer","how would you rate the quality of the following neighborhood services? (select an option for each category)","prevention of local crime/neighborhood safety",NA,"1,2,3,4,5","excellent; good; fair; poor; don’t know/not sure","government services",31,"survey question"
"qid35","q32_1_1","lr_stress_fb","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","mental health or emotional support","faith-based organizations","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_1_2","lr_stress_np","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","mental health or emotional support","community non-profits","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_1_3","lr_stress_gov","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","mental health or emotional support","government agencies","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_1_4","lr_stress_emp","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","mental health or emotional support","my employer/business","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_1_5","lr_stress_uni","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","mental health or emotional support","my unions","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_1_6","lr_stress_ff","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","mental health or emotional support","friends/family","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_1_7","lr_stress_idk","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","mental health or emotional support","not sure/not applicable","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_2_1","lr_trans_fb","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","transportation","faith-based organizations","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_2_2","lr_trans_np","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","transportation","community non-profits","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_2_3","lr_trans_gov","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","transportation","government agencies","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_2_4","lr_trans_emp","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","transportation","my employer/business","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_2_5","lr_trans_uni","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","transportation","my unions","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_2_6","lr_trans_ff","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","transportation","friends/family","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_2_7","lr_trans_idk","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","transportation","not sure/not applicable","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_3_1","lr_food_fb","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","food","faith-based organizations","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_3_2","lr_food_np","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","food","community non-profits","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_3_3","lr_food_gov","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","food","government agencies","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_3_4","lr_food_emp","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","food","my employer/business","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_3_5","lr_food_uni","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","food","my unions","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_3_6","lr_food_ff","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","food","friends/family","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_3_7","lr_food_idk","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","food","not sure/not applicable","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_4_1","lr_hc_fb","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","healthcare","faith-based organizations","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_4_2","lr_hc_np","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","healthcare","community non-profits","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_4_3","lr_hc_gov","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","healthcare","government agencies","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_4_4","lr_hc_emp","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","healthcare","my employer/business","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_4_5","lr_hc_uni","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","healthcare","my unions","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_4_6","lr_hc_ff","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","healthcare","friends/family","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_4_7","lr_hc_idk","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","healthcare","not sure/not applicable","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_5_1","lr_util_fb","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","utilities","faith-based organizations","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_5_2","lr_util_np","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","utilities","community non-profits","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_5_3","lr_util_gov","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","utilities","government agencies","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_5_4","lr_util_emp","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","utilities","my employer/business","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_5_5","lr_util_uni","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","utilities","my unions","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_5_6","lr_util_ff","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","utilities","friends/family","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_5_7","lr_util_idk","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","utilities","not sure/not applicable","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_6_1","lr_cc_fb","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","childcare","faith-based organizations","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_6_2","lr_cc_np","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","childcare","community non-profits","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_6_3","lr_cc_gov","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","childcare","government agencies","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_6_4","lr_cc_emp","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","childcare","my employer/business","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
"qid35","q32_6_5","lr_cc_uni","matrix","likert","multipleanswer","where do you go if you need help with any of the following? (select all that apply)","childcare","my unions","1,2,3,4,5,6,7","faith-based organizations; community non-profits; government agencies; my employer/business; my unions; friends/family; not sure/not applicable","government services",32,"survey question dummy"
